Name,AppID,Playtime (hrs),Last Played,Tags
Counter-Strike,10,0.00,Never,
Team Fortress Classic,20,0.00,Never,
Day of Defeat,30,0.00,Never,
Deathmatch Classic,40,0.00,Never,
Half-Life: Opposing Force,50,7.57,2018-03-10,
Ricochet,60,0.00,Never,
Half-Life,70,5.85,2019-01-04,
Counter-Strike: Condition Zero,80,0.57,2019-06-23,
Counter-Strike: Condition Zero Deleted Scenes,100,0.00,Never,
Half-Life: Blue Shift,130,0.00,Never,
Half-Life 2,220,12.90,2021-03-20,
Counter-Strike: Source,240,8.55,2023-05-02,
Half-Life: Source,280,0.00,Never,
Day of Defeat: Source,300,0.00,Never,
Half-Life 2: Deathmatch,320,0.00,Never,
Half-Life Deathmatch: Source,360,0.00,Never,
Portal,400,0.00,Never,
Team Fortress 2,440,155.25,2020-09-20,
Left 4 Dead,500,0.00,Never,
Left 4 Dead 2,550,12.50,2024-12-10,
Portal 2,620,0.00,Never,
Counter-Strike 2,730,432.13,2025-11-27,
Garry's Mod,4000,21.15,2020-02-05,
"Warhammer 40,000: Dawn of War - Anniversary Edition ",4570,0.35,2023-06-05,
"Warhammer 40,000: Dawn of War - Dark Crusade",4580,0.03,2023-02-19,
Total War: MEDIEVAL II - Definitive Edition,4700,3.70,2024-02-09,
Rome: Total War,4760,1.08,2022-12-21,
Rome: Total War - Alexander,4770,1.68,2021-07-11,
"Warhammer 40,000: Dawn of War - Winter Assault",9310,0.00,Never,
"Warhammer 40,000: Dawn of War - Soulstorm",9450,82.88,2025-08-08,
Total War: EMPIRE - Definitive Edition,10500,4.53,2023-04-28,
Bully: Scholarship Edition,12200,0.28,2025-02-03,
Fallout: New Vegas,22380,9.45,2020-02-26,
Total War: SHOGUN 2,34330,12.25,2022-03-13,
Terraria,105600,765.60,2025-11-16,
Wolfenstein: The New Order,201810,6.70,2025-01-02,
Starbound,211820,49.30,2021-04-26,
Total War: ROME II - Emperor Edition,214950,82.20,2022-03-18,
Age of Empires II (2013),221380,7.43,2023-01-25,
POSTAL 2,223470,0.45,2017-12-29,
Eador. Masters of the Broken World,232050,0.00,Never,
Dying Light,239140,1.72,2021-07-13,
Blockland,250340,25.40,2016-03-09,
Shovel Knight: Treasure Trove,250760,0.00,Never,
The Binding of Isaac: Rebirth,250900,19.47,2024-12-21,
A Hat in Time,253230,36.43,2023-10-17,
Mount & Blade II: Bannerlord,261550,102.22,2025-07-03,
Satellite Reign,268870,0.00,Never,
Cuphead,268910,0.00,Never,
Tabletop Simulator,286160,6.52,2024-06-03,
The Witcher 3: Wild Hunt,292030,0.00,Never,
The Escapists,298630,0.02,2017-12-29,
Trove,304050,161.85,2020-06-09,
Unturned,304930,150.23,2025-04-20,
DiRT Rally,310560,18.62,2023-09-24,
Enter the Gungeon,311690,13.08,2022-06-12,
Worms W.M.D,327030,4.70,2025-03-26,
Besiege,346010,9.08,2020-02-21,
ARK: Survival Evolved,346110,0.00,Never,
Middle-earth™: Shadow of War™,356190,33.10,2021-08-18,
Black Mesa,362890,0.88,2022-05-29,
Total War: WARHAMMER,364360,0.00,Never,
Hollow Knight,367520,2.62,2023-12-02,
Starbound - Unstable,367540,0.90,2016-04-12,
ARK: Survival Of The Fittest,407530,0.00,Never,
Metro Exodus,412020,7.57,2021-07-18,
Stardew Valley,413150,25.83,2021-12-15,
Wallpaper Engine,431960,9.58,2025-11-25,
Katana ZERO,460950,5.13,2024-12-27,
Celeste,504230,2.75,2024-01-08,
Foxhole,505460,8.32,2022-06-21,
DUSK,519860,0.00,Never,
Warhammer: Vermintide 2,552500,0.35,2021-08-19,
HELLDIVERS™ 2,553850,26.82,2024-12-15,
Sonic Mania,584400,0.37,2025-05-03,
Dead Cells,588650,0.00,Never,
Total War: WARHAMMER II,594570,11.50,2022-05-15,
Barotrauma,602960,30.60,2024-08-23,
Risk of Rain 2,632360,91.28,2025-05-13,
Ravenfield,636480,44.02,2024-02-24,
BattleBit Remastered,671860,155.97,2023-12-24,
AMID EVIL,673130,5.35,2025-06-17,
Bad North: Jotunn Edition,688420,0.00,Never,
Roboquest,692890,4.08,2025-01-14,
Phasmophobia,739630,23.02,2025-04-15,
Total War: THREE KINGDOMS,779340,2.63,2021-08-04,
DOOM Eternal,782330,0.00,Never,
ANIMAL WELL,813230,3.72,2025-01-19,
Age of Empires II: Definitive Edition,813780,53.43,2024-12-31,
Sekiro™: Shadows Die Twice,814380,0.00,Never,
Totally Accurate Battlegrounds,823130,0.63,2018-06-07,
Yakuza Kiwami,834530,9.78,2021-08-30,
Noita,881100,13.10,2025-10-07,
Total War: ROME REMASTERED,885970,793.93,2025-01-08,
Age of Empires III: Definitive Edition,933110,14.13,2023-07-27,
Bloons TD 6,960090,2.70,2024-08-26,
Mortal Kombat 11,976310,16.07,2022-12-08,
Halo: The Master Chief Collection,976730,0.93,2022-08-15,
Going Medieval,1029780,0.68,2023-12-27,
Ready or Not,1144200,4.60,2022-09-25,
UFO 50,1147860,0.73,2024-12-28,
OMORI,1150690,0.00,Never,
Crusader Kings III,1158310,26.32,2023-10-19,
The Bloodline,1159290,5.20,2025-06-27,
Red Dead Redemption 2,1174180,4.05,2024-04-07,
Need for Speed™ Heat ,1222680,0.00,Never,
Cult of the Lamb,1313140,17.87,2024-12-26,
"Warhammer 40,000: Darktide",1361210,21.37,2024-03-28,
Milk inside a bag of milk inside a bag of milk,1392820,0.25,2024-12-30,
Deadlock,1422450,0.00,Never,
Metro Exodus Enhanced Edition,1449560,0.02,2021-07-11,
Undisputed,1451190,4.88,2024-03-04,
ROUNDS,1557740,0.45,2025-01-01,
God of War,1593500,24.13,2024-01-27,
Milk outside a bag of milk outside a bag of milk,1604000,0.75,2025-01-09,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,1643320,37.63,2024-12-09,
Dead Space,1693980,0.42,2024-02-02,
Lunacid,1745510,1.32,2025-02-14,
Nine Sols,1809540,52.17,2024-09-11,
Marvel’s Spider-Man Remastered,1817070,21.77,2024-04-04,
Marvel's Spider-Man: Miles Morales,1817190,0.00,Never,
Age of Mythology: Retold,1934680,1.35,2025-02-14,
Brotato,1942280,0.62,2024-01-04,
Lethal Company,1966720,28.95,2024-09-14,
Rabbit and Steel,2132850,1.50,2025-05-27,
"Warhammer 40,000: Space Marine 2",2183900,21.13,2025-07-01,
Football Manager 2024,2252570,66.40,2024-01-12,
God of War Ragnarök,2322010,57.75,2024-10-27,
Balatro,2379780,20.83,2025-06-12,
Crypt Custodian,2394650,0.82,2025-01-24,
Neva,2420660,0.00,Never,
Content Warning,2881650,0.00,Never,
TCG Card Shop Simulator,3070070,4.22,2025-01-21,
Battlefield™ 6 Open Beta,3081410,0.00,Never,
WEBFISHING,3146520,0.40,2024-10-29,
"Warhammer 40,000: Dawn of War - Definitive Edition",3556750,2.98,2025-09-01,
